Term,Hits,NLP_Entity_Hits,NLP_Identifier_Hits
ERAS,15,22087,0
not,15,12891,0
curcumin,17,5190,0
SP6,11,3405,0
LRP3,14,1905,0
tlr3,14,1786,0
enac,11,1544,0
EN1,17,1428,2
RPS6,111,1001,0
HLA.A,112,707,0
fluoxetine,13,681,0
CD133,20,619,0
pedf,19,589,0
auxin,30,564,0
HOTAIR,34,466,0
HLA.B,48,465,0
PI3K/Akt/mTOR,16,464,0
Id4,20,459,0
OSR1,43,437,0
dd3,15,435,374
TIMP3,60,412,0
hamp,14,411,0
TBX2,51,400,0
periostin,12,364,0
SHBG,14,360,0
lbh,14,332,1
ibuprofen,18,323,0
KYNU,110,323,0
pax7,22,301,0
EN2,11,288,0
Mgp,42,281,0
SHOX,23,275,0
MN1,12,261,0
lignin,13,257,0
SOX11,40,250,0
FEV,19,238,0
SHOX2,17,235,0
CLPP,16,234,0
cas9,14,221,0
SFRP5,17,215,0
MSX1,15,208,3
PEG3,14,195,0
KLF8,21,192,0
ABRA,18,192,0
ELF5,24,187,0
SLK,52,180,18
FLCN,31,180,0
SULF2,11,179,0
cMYC,15,179,0
IRGM,28,176,0
krit1,27,173,0
XIST,18,172,0
ANGPTL2,12,167,0
STIM2,13,164,0
Meg3,18,159,0
GCM1,12,154,0
CRISPR,15,153,0
CCL18,21,153,0
NNAT,14,149,0
CPEB1,45,145,0
phex,21,144,0
NHS,18,143,18
DLEC1,16,143,0
Crb2,58,139,0
DLX2,25,139,0
KLF11,13,139,0
MAP6,22,138,0
HN1,40,137,4
fat4,30,136,0
SULF1,16,136,0
ATOH1,21,134,0
MALAT1,27,133,0
ELF4,13,133,0
STC1,17,129,0
LIM2,11,118,0
HOXB13,19,116,0
MTDH,18,113,0
laptm5,21,112,0
PITX3,12,111,0
PCDH8,12,110,0
neat1,16,107,0
HINT1,23,106,0
DACT2,12,104,0
TEN1,11,103,0
ALCAM,211,102,0
SPDEF,11,101,0
CLPB,20,100,0
POU3F1,14,100,0
LHX1,15,99,0
dnmt2,48,98,0
GATOR,18,97,0
ZHX2,13,96,0
CLIC4,20,95,0
KLK4,15,95,0
PSAP,48,95,0
flavonols,14,95,0
BCAM,14,93,0
DLL3,14,93,0
PCAT2,27,92,0
LYL1,18,91,0
npas4,12,91,0
panx3,12,91,0
nppb,12,90,0
AKAP4,21,89,0
hoxa13,50,86,0
FAT2,28,86,0
TIPARP,15,85,0
CTHRC1,16,85,0
NEFH,17,84,0
PTBP2,12,84,0
EBF3,42,83,0
FEZF2,12,83,0
PRM1,12,83,0
MYOF,35,83,0
PRF1,12,82,0
DCLK1,40,82,0
OTOF,11,81,0
PEPD,17,80,0
POSTN,33,79,0
ccm2,14,79,0
S100A14,13,79,0
HSPB6,16,77,0
SNX27,13,76,0
NEUROG2,11,75,0
AIF1,39,74,0
Ovol1,12,74,0
FOXQ1,12,74,0
SIM2,12,73,0
DPP6,47,72,0
PARP3,13,72,0
EMP2,16,72,0
CPEB3,77,72,0
TKT,52,71,0
HORMAD1,12,70,0
KCTD12,23,70,0
MACC1,13,69,0
NOVA1,14,68,0
CNN3,15,67,0
Dlx1,44,66,0
TM4SF5,14,66,0
rrad,14,66,0
EGR3,21,65,0
UTF1,20,65,0
fasudil,12,64,0
chd2,34,63,0
STYX,12,63,0
CHD7,35,62,0
AEBP1,27,62,0
PLA2G7,80,62,0
RAD54B,16,60,0
ATF5,18,59,0
PDZRN3,15,59,0
VASH1,11,59,0
DOC2B,12,59,0
NUPR1,23,58,0
BANK1,18,57,0
FRMD7,12,57,0
BASP1,12,57,0
sp110,20,57,0
DMRT1,88,56,0
FNDC5,15,56,0
INF2,29,55,0
FBXO45,20,55,0
PHOX2B,73,54,0
ESX1,18,54,0
bnc1,14,54,0
DBR1,17,54,0
SIL1,87,53,0
vanillin,12,53,0
SLAIN2,13,53,0
LAD1,11,52,28
KLK6,22,52,0
ETV2,13,52,0
TRIB1,12,52,0
CCL7,21,51,0
S100A16,12,51,0
Frzb,22,50,0
EGR4,23,50,0
FOXF2,12,50,0
NCOA4,147,49,0
PAGE4,20,49,0
THEMIS2,14,49,0
LYZ,44,48,1
CDH23,64,48,0
CLIC1,19,48,0
ZFP36L2,16,48,0
fdr,14,48,0
RGN,14,48,0
PVT1,13,48,0
GBX1,37,48,0
farp1,13,48,0
FILIP1,14,48,0
cst1,17,48,0
